,P_EV1,P_EV2,P_EV3,P_EV4,P_EV5,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,execution_time,feasible_ev_charging_power,id,p_ess,p_grid,p_grid_before,p_pv,p_vac
0,7.0,7.0,7.0,14.96,14.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.787504196167,50.92,92206fa729de,7.0,43.92,46.7625,0.0,53.7625
1,3.895833333333333,3.895833333333333,3.895833333333333,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,979.9459114074707,11.6875,92206fa729de,-7.0,18.6875,18.6875,0.0,11.6875
2,2.3375,2.3375,2.3375,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,976.4840066432953,7.0125,92206fa729de,0.0,7.0125,7.0125,0.0,7.0125
3,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,957.5945394039154,0.0,92206fa729de,-7.0,7.0,7.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,964.9917604923247,0.0,92206fa729de,-7.0,7.0,7.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,976.7940752506256,0.0,92206fa729de,-7.0,6.6063300000000025,6.6063300000000025,0.39367,0.0
6,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,977.6677460670472,0.0,92206fa729de,0.0,-4.75361,-4.75361,4.75361,0.0
7,0.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,967.478217601776,0.0,92206fa729de,0.0,-15.1473,-15.1473,15.1473,0.0
8,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,956.494642496109,0.0,92206fa729de,0.0,-15.867,-15.867,15.867,0.0
9,1.87,0.0,0.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,,,,,,,,,,970.4039134979248,1.87,92206fa729de,14.0,-43.92674,-43.45924,31.796740000000003,2.3375
10,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,969.4194281101227,0.0,92206fa729de,0.0,-38.73189,-27.044390000000003,38.73189,11.6875
11,0.0,0.0,0.0,0.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,,,,,,,,,,,,964.4211091995239,0.0,92206fa729de,-14.0,-19.29914,-0.59914,33.29914,18.7
12,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,,,,,,,,,,,,,966.9390778541564,0.0,92206fa729de,-7.0,-7.634639999999999,8.72786,14.63464,16.3625
13,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,,,,,,,,,,,,,,975.371075630188,0.0,92206fa729de,0.0,-24.09385,-14.74385,24.09385,9.35
14,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,,,,,,,,,,,,,,,978.011023759842,0.0,92206fa729de,-7.0,-3.87046,12.49204,10.870460000000001,16.3625
15,0.0,0.0,0.0,0.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,962.3376553058624,0.0,92206fa729de,0.0,-20.06198,-13.04948,20.06198,7.0125
16,0.0,0.0,0.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,,,,,,,,,,,,,,,,,966.6735789775847,0.0,92206fa729de,-7.0,-3.9950500000000013,28.72995,10.99505,32.725
17,0.0,0.0,0.0,0.0,0.0,17.0,17.0,17.0,17.0,17.0,17.0,,,,,,,,,,,,,,,,,,968.6170949935913,0.0,92206fa729de,0.0,-2.28806,39.78694,2.28806,42.075
18,0.0,0.0,0.0,0.0,0.0,18.0,18.0,18.0,18.0,18.0,,,,,,,,,,,,,,,,,,,973.4202752113342,0.0,92206fa729de,28.0,-28.0,21.0875,0.0,49.0875
19,4.8553412462908,4.8553412462908,4.8553412462908,9.079488130563798,9.079488130563798,19.0,19.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,977.055878162384,32.725,92206fa729de,14.0,18.725,18.725,0.0,32.725
20,5.610000000000001,7.0,7.0,3.739999999999999,3.739999999999999,20.0,20.0,20.0,,,,,,,,,,,,,,,,,,,,,970.7255675792694,27.09,92206fa729de,-21.0,48.09,51.3875,0.0,30.3875
21,0.0,0.0,0.0,0.0,0.0,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,971.6411271095276,0.0,92206fa729de,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,22.0,,,,,,,,,,,,,,,,,,,,,,,970.7673344612123,0.0,92206fa729de,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,967.2968015670776,0.0,92206fa729de,0.0,0.0,0.0,0.0,0.0
